id,Q246,Q246_6_TEXT,Team_id,remove_team,self_leader,self_leader_2,self_leader_3,squestion,alter_id,Q13,Q14,Q15,Q16,Q17,Q82,Q83,Q84,Q85,Q86,Q89,Q90,Q91,Q92,Q93
147 (175),5,NA,3_6_12,0,TRUE,TRUE,FALSE,1,208,5,5,5,2,TRUE,4,5,5,1,TRUE,5,6,5,NA,FALSE
147 (175),5,NA,3_6_12,0,TRUE,TRUE,FALSE,4,vero3_6_12,NA,NA,NA,NA,NA,5,5,5,2,TRUE,7,6,7,NA,TRUE
139,5,NA,3_7_12,0,FALSE,FALSE,FALSE,1,149,5,7,6,1,FALSE,7,7,6,1,TRUE,7,7,7,NA,TRUE
139,5,NA,3_7_12,0,FALSE,FALSE,FALSE,4,vero3_7_12,NA,NA,NA,NA,NA,3,3,3,1,FALSE,5,6,7,NA,FALSE
149,4,NA,3_7_12,0,TRUE,TRUE,TRUE,1,139,7,7,7,1,FALSE,7,7,7,NA,TRUE,7,7,7,NA,TRUE
149,4,NA,3_7_12,0,TRUE,TRUE,TRUE,4,vero3_7_12,NA,NA,NA,NA,NA,5,5,7,3,TRUE,5,5,7,3,TRUE
128,2,NA,1_8_12,0,TRUE,TRUE,TRUE,1,290,7,7,7,1,FALSE,7,7,7,1,FALSE,7,7,7,7,FALSE
128,2,NA,1_8_12,0,TRUE,TRUE,TRUE,4,vero1_8_12,NA,NA,NA,NA,NA,7,6,7,2,FALSE,5,6,7,7,FALSE
290,5,NA,1_8_12,0,TRUE,TRUE,TRUE,1,128,5,6,5,3,TRUE,5,6,5,2,TRUE,5,6,5,2,TRUE
290,5,NA,1_8_12,0,TRUE,TRUE,TRUE,4,vero1_8_12,NA,NA,NA,NA,NA,5,5,5,2,FALSE,3,3,4,3,FALSE
155,5,NA,3_1_7,0,TRUE,TRUE,TRUE,1,448,3,3,3,1,TRUE,4,4,4,1,TRUE,4,4,4,1,TRUE
155,5,NA,3_1_7,0,TRUE,TRUE,TRUE,2,714,3,3,3,1,FALSE,4,4,4,1,TRUE,4,4,4,1,TRUE
155,5,NA,3_1_7,0,TRUE,TRUE,TRUE,4,vero3_1_7,NA,NA,NA,NA,NA,4,4,4,1,TRUE,4,4,4,1,TRUE
714,5,NA,3_1_7,0,TRUE,TRUE,TRUE,1,155,6,5,7,4,TRUE,7,7,7,1,TRUE,7,6,7,1,TRUE
714,5,NA,3_1_7,0,TRUE,TRUE,TRUE,2,448,5,6,6,4,FALSE,7,7,7,1,TRUE,7,6,7,1,TRUE
714,5,NA,3_1_7,0,TRUE,TRUE,TRUE,4,vero3_1_7,NA,NA,NA,NA,NA,7,7,7,1,FALSE,7,6,7,1,FALSE
